KEY,English,Italiano,Francese,Tedesco,Spagnolo,Russo
Tutorial,LAUNCHES YOUR PLAYERS,LANCIA I TUOI GIOCATORI,LANCE VOS JOUEURS,STARTET IHRE SPIELER,LANZA SUS JUGADORES,ЗАПУСК ВАШИХ ИГРОКОВ
Exit,EXIT,ESCI,QUITTER,VERLASSEN,SALGA,ВЫЙТИ
Is Selecting Team,IS SELECTING THE TEAM,STA SEGLIENDO LA SQUDRA,EST DE CHOISIR L'ÉQUIPE,IST DAS TEAM AUSWÄHLEN,ES ELEGIR EL EQUIPO,ВЫБИРАЕТ КОМАНДУ
The Opponent,THE OPPONENT,L\'AVVERSARIO,L'ADVERSAIRE,DER GEGNER,EL ADVERSARIO,ПРОТИВНИК
Total Points,TOTAL POINTS,PUNTI TOTALI,TOTAL DES POINTS,GESAMTPUNKTE,PUNTUACIÓN TOTAL,ИТОГОВЫЕ ОЧКИ
NewInvite,NEW INVITE,NUOVO INVITO,NOUVELLE INVITATION,NEUE EINLADUNG,NUEVA INVITACIÓN,НОВЫЙ ВЫЗОВ
Easy,EASY,FACILE,FACILE,EINFACH,FÁCIL,ЛЕГКО
Normal,NORMAL,NORMALE,NORMAL,NORMAL,NORMAL,ОБЫЧНЫЕ
Insane,INSANE,FOLLE,FOU,VERRÜCKT,LOCO,БЕЗУМНЫЕ
Ready,READY,PRONTO,PRÊT,PREPARADO,PREPARED,ГОТОВ
CreditsMade,This game was made by:,Questo gioco è stato realizzato da:,CE JEU A ÉTÉ FAITE PAR:,DIESES SPIEL WURDE VON:,ESTE JUEGO FUE HECHO POR:,ЭТА ИГРА БЫЛА СОЗДАНА:
Developer,Developer,Sviluppatore,DÉVELOPPATEUR,ENTWICKLER,REVELADOR,PАЗРАБОТЧИК
Designer,Designer,Designer,DESIGNER,GESTALTER,DISEÑADOR,ДИЗАЙНЕР
Special Thanks,Special thanks to:,Un ringraziamento speciale a:,UN GRAND MERCI À:,EIN BESONDERES DANKESCHÖN AN:,UN AGRADECIMIENTO ESPECIAL A:,ОСОБАЯ БЛАГОДАРНОСТЬ:
ALGERIA,ALGERIA,ALGERIA,ALGÉRIE,ALGERIEN,ARGELIA,АЛЖИР
ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINE,ARGENTINIEN,ARGENTINA,АРГЕНТИНА
AUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIE,AUSTRALIEN,AUSTRALIA,АВСТРАЛИЯ
BELGIUM,BELGIUM,BELGIO,BELGIQUE,BELGIEN,BÉLGICA,БЕЛЬГИЯ
BOSNIA,BOSNIA AND HERZEGOVINA,BOSNIA ED ERZEGOVINA,BOSNIE-HERZÉGOVINE,BOSNIEN UND HERZEGOWINA,BOSNIA Y HERZEGOVINA,БОСНИИ И ГЕРЦЕГОВИНЕ
BRAZIL,BRAZIL,BRASILE,BRÉSIL,BRASILIEN,BRASIL,БРАЗИЛИЯ
CAMEROON,CAMEROON,CAMERUN,CAMEROUN,KAMERUN,CAMERÚN,КАМЕРУН
CHILE,CHILE,CILE,CHILI,CHILI,CHILE,ЧИЛИ
CHINA,CHINA,CINA,CHINE,CHINA,CHINA,КИТАЙ
COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIE,KOLUMBIEN,COLOMBIA,КОЛУМБИЯ
COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,КОСТА-РИКА
COTEDIVOIRE,COTE D\'IVOIRE,COSTA D\'AVORIO,COTE D'IVOIRE,ELFENBEINKÜSTE,COSTA DE MARFIL,КОТ-Д'ИВУАР
CROATIA,CROATIA,CROAZIA,CROATIE,KROATIEN,CROACIA,ХОРВАТИЯ
ECUADOR,ECUADOR,ECUADOR,ÉQUATEUR,ECUADOR,ECUADOR,ЭКВАДОР
ENGLAND,ENGLAND,INGHILTERRA,ANGLETERRE,ENGLAND,INGLATERRA,АНГЛИЯ
FRANCE,FRANCE,FRANCIA,FRANCE,FRANKREICH,FRANCIA,ФРАНЦИЯ
GERMANY,GERMANY,GERMANIA,ALLEMAGNE,DEUTSCHLAND,ALEMANIA,ГЕРМАНИЯ
GHANA,GHANA,GHANA,GHANA,GHANA,GHANA,ГАНА
GREECE,GREECE,GRECIA,GRÈCE,GRIECHENLAND,GRECIA,ГРЕЦИЯ
HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS,HONDURAS,ГОНДУРАС
IRAN,IRAN,IRAN,IRAN,IRAN,IRÁN,ИРАН
ITALY,ITALY,ITALIA,ITALIE,ITALIEN,ITALIA,ИТАЛИЯ
JAPAN,JAPAN,GIAPPONE,JAPON,JAPAN,JAPÓN,ЯПОНИЯ
KOREA REPUBLIC,KOREA REPUBLIC,COREA DEL SUD,RÉPUBLIQUE DE CORÉE,KOREA REPUBLIK,COREA DEL SUR,ЮЖНАЯ КОРЕЯ
MEXICO,MEXICO,MESSICO,MEXIQUE,MEXIKO,MÉXICO,МЕКСИКА
MOLDOVA,MOLDOVA,MOLDAVIA,MOLDAVIE,MOLDAU,MOLDAVIA,МОЛДОВА
NETHERLANDS,NETHERLANDS,OLANDA,PAYS-BAS,NIEDERLANDE,PAÍSES BAJOS,ГОЛЛАНДИЯ
NIGERIA,NIGERIA,NIGERIA,NIGERIA,NIGERIA,NIGERIA,НИГЕРИЯ
PORTUGAL,PORTUGAL,PORTOGALLO,PORTUGAL,PORTUGAL,PORTUGAL,ПОРТУГАЛИЯ
RUSSIA,RUSSIA,RUSSIA,RUSSIE,RUSSLAND,RUSIA,РОССИЯ
SPAIN,SPAIN,SPAGNA,ESPAGNE,SPANIEN,ESPAÑA,ИСПАНИЯ
SWEDEN,SWEDEN,SVEZIA,SUÈDE,SCHWEDEN,SUECIA,ШВЕЦИЯ
SWITERLAND,SWITERLAND,SVIZZERA,SUISSE,SCHWEIZ,SUIZA,ШВЕЙЦАРИЯ
TURKEY,TURKEY,TURCHIA,TURQUIE,TRUTHAHN,TURQUÍA,ТУРЦИЯ
URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY,URUGUAY,УРУГВАЙ
USA,USA,USA,USA,USA,EEUU,США
